Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200308,S08000026,NHS Shetland,0,2,8.745080891998251,NA,0,0,0,1,5,21.862702229995627,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200308,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,1,4,15.09433962264151,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200308,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,2,111,29.668831689519685,7,0,0,5.333333333333334,7,0,NA,:,NA,:,0,0
20200308,S08000030,NHS Tayside,0,1,0.2400672188212699,0,0,0,0,0,149,35.77001560436923,1,0,0,5.031446540880504,1,0,NA,:,NA,:,0,0
20200308,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,38,526,44.379197462117375,56,3,5.357142857142857,2.0484171322160147,56,0,NA,:,NA,:,3,0
20200308,S08000032,NHS Lanarkshire,0,3,0.4531995890990392,0.4531995890990392,0,0,0,9,213,32.177170826031784,24,4,16.666666666666664,4.30622009569378,24,0,NA,:,NA,:,4,0
20200308,S92000003,Scotland,3,30,0.5488474204171241,0.4939626783754116,0,0,0,113,2064,37.76070252469813,192,17,8.854166666666668,4.095185390149418,192,0,NA,NA,NA,:,17,0
20200309,S08000015,NHS Ayrshire and Arran,1,3,0.8152395445528412,0.5434930297018941,0,0,0,21,129,35.055300415772166,24,1,4.166666666666666,2.6548672566371683,24,0,NA,:,NA,:,1,0
20200309,S08000016,NHS Borders,1,1,0.8677542519958349,0.8677542519958349,0,0,0,12,60,52.06525511975008,15,1,6.666666666666667,3.0303030303030303,15,0,NA,:,NA,:,1,0
20200309,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,15,105,70.80720210398543,22,0,0,0,22,0,NA,:,NA,:,0,0
20200309,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,14,181,59.16386101395744,24,3,12.5,8.333333333333332,24,0,NA,:,NA,:,3,0
20200309,S08000020,NHS Grampian,0,7,1.195457262402869,1.0246776534881736,0,0,0,10,161,27.49551703526599,18,1,5.555555555555555,14.736842105263156,18,0,NA,:,NA,:,1,0
20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,7,88,27.42629184067818,8,0,0,0,8,0,NA,:,NA,:,0,0
20200309,S08000024,NHS Lothian,3,10,1.0959024208484476,1.0959024208484476,0,0,0,101,505,55.3430722528466,136,8,5.88235294117647,5.205479452054795,136,0,NA,:,NA,:,8,0
20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,8,35.714285714285715,1,0,0,0,1,0,NA,:,NA,:,0,0
20200309,S08000026,NHS Shetland,4,6,26.23524267599475,NA,0,0,0,4,9,39.35286401399213,16,6,37.5,NA,16,0,NA,:,NA,:,6,0
